agricultureStructureIndicator,baseFloodElevation,basementEnclosureCrawlspaceType,cancellationDateOfFloodPolicy,condominiumCoverageTypeCode,construction,crsClassCode,buildingDeductibleCode,contentsDeductibleCode,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,federalPolicyFee,ratedFloodZone,hfiaaSurcharge,houseOfWorshipIndicator,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,nonProfitIndicator,numberOfFloorsInInsuredBuilding,obstructionType,occupancyType,originalConstructionDate,originalNBDate,policyCost,policyCount,policyEffectiveDate,policyTerminationDate,policyTermIndicator,postFIRMConstructionIndicator,primaryResidenceIndicator,rateMethod,regularEmergencyProgramIndicator,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,totalInsurancePremiumOfThePolicy,cancellationVoidanceReasonCode,subsidizedRateType,iccPremium,reserveFundAssessment,communityProbationSurcharge,premiumPaymentIndicator,buildingReplacementCost,basicBuildingRate,additionalBuildingRate,basicContentsRate,AdditionalContentsRate,enclosureTypeCode,buildingDescriptionCode,insuranceToValueCode,postFirmVzoneIndicator,floodproofedIndicator,waitingPeriodType,rolloverTransferCode,endorsementEffectiveDate,propertyPurchaseDate,rentalPropertyIndicator,tenantIndicator,stateOwnedIndicator,disasterAssistanceCoverageRequiredCode,mandatoryPurchaseFlag,grandfatheringTypeCode,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,programTypeIndicator,mapPanelNumber,mapPanelSuffix,floodZoneCurrent,femaRegion,propertyState,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
False,,,,N,False,,1,1,False,,,47,X,250,False,,,,False,2,,11,2009-02-01T00:00:00.000Z,2022-08-01T00:00:00.000Z,784,1,2025-08-01T00:00:00.000Z,2026-08-01T00:00:00.000Z,1,False,False,RatingEngine,R,False,54000,21000,413,,,8.0,74,,1,,,,,,,,,False,False,N,T,2025-08-01T00:00:00.000Z,,False,False,False,,False,,480510,480510,ORANGE COUNTY *,False,,,,6.0,TX,Currently Unavailable,77662,48361,48361021503,483610215032,30.2,-94.0,324fb107-ca77-4494-98bb-390211ac79a9
False,,,,N,False,7.0,2,2,False,,,47,AE,25,False,,,,False,1,,11,1982-07-01T00:00:00.000Z,2022-06-17T00:00:00.000Z,661,1,2025-06-17T00:00:00.000Z,2026-06-17T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,499,,,11.0,90,,2,,,,,,,,,False,False,S,N,,,False,False,False,,False,,220058,220058,EAST BATON ROUGE PARISH,False,,,,6.0,LA,Currently Unavailable,70815,22033,22033003703,220330037034,30.4,-91.1,e5a7e9f0-6f0d-4987-9df2-34877242a8bf
False,,,,N,False,6.0,F,F,False,,,47,X,250,False,,,,False,2,,18,1984-06-01T00:00:00.000Z,2017-10-11T00:00:00.000Z,4152,1,2025-10-11T00:00:00.000Z,2026-10-11T00:00:00.000Z,1,False,False,RatingEngine,R,True,500000,500000,3267,,,75.0,588,,1,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,480296,480296,"HOUSTON, CITY OF",False,,,,6.0,TX,Currently Unavailable,77084,48201,48201541701,482015417013,29.8,-95.7,92b549ca-07d1-46cd-9853-0e9d93a3bc89
False,,,,N,False,8.0,2,,False,,,47,AE,25,False,,9.0,11.0,False,1,,11,1970-05-01T00:00:00.000Z,2022-11-16T00:00:00.000Z,1345,1,2025-11-16T00:00:00.000Z,2026-11-16T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,0,1079,,,23.0,194,,2,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,345293,345293,"TOMS RIVER, TOWNSHIP OF",False,,,,2.0,NJ,Currently Unavailable,08753,34029,34029722401,340297224013,40.0,-74.1,11b72934-85bc-406d-9853-5dda0a5dce9f
False,,,,N,False,,2,,False,,,47,AE,25,False,,,,False,1,,11,1945-08-01T00:00:00.000Z,2021-11-19T00:00:00.000Z,1122,1,2025-11-19T00:00:00.000Z,2026-11-19T00:00:00.000Z,1,False,True,RatingEngine,R,False,123000,0,890,,,17.0,160,,1,,,,,,,,,False,False,,Z,,,False,False,False,,False,,290051,290051,"FULTON, CITY OF",False,,,,7.0,MO,Currently Unavailable,65251,29027,29027070400,290270704004,38.8,-92.0,4509b38e-851f-43ea-8456-34cec452df35
False,,,,N,False,8.0,F,1,False,,,47,AE,250,False,,1.9,3.7,False,1,,11,1968-01-01T00:00:00.000Z,2022-07-29T00:00:00.000Z,1042,1,2025-07-29T00:00:00.000Z,2026-07-29T00:00:00.000Z,1,False,False,RatingEngine,R,False,250000,100000,631,,,14.0,114,,1,,,,,,,,,False,False,,N,,,True,False,False,,False,,240026,240026,DORCHESTER COUNTY *,False,,,,3.0,MD,Currently Unavailable,21613,24019,24019970702,240199707023,38.6,-76.3,b371ef18-f43e-4141-84bc-e67d68aa15bb
False,,,,N,False,3.0,2,1,False,,,47,A99,25,False,,,,False,1,,11,1961-01-01T00:00:00.000Z,2022-12-25T00:00:00.000Z,625,1,2025-12-25T00:00:00.000Z,2026-12-25T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,469,,,11.0,84,,2,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,060266,060266,"SACRAMENTO, CITY OF",False,,,,9.0,CA,Currently Unavailable,95833,06067,06067007024,060670070241,38.6,-121.5,a71b9c8e-df72-4fbd-b374-fb53b605c2b5
False,,,,N,False,,5,,False,,,47,AE,25,False,,,,False,3,,11,1965-01-01T00:00:00.000Z,2022-12-23T00:00:00.000Z,358,1,2025-12-23T00:00:00.000Z,2026-12-23T00:00:00.000Z,1,False,True,RatingEngine,R,False,36000,0,242,,,5.0,44,,2,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,260498,260498,"ALBEE, TOWNSHIP OF",False,,,,5.0,MI,Currently Unavailable,48417,26145,26145012900,261450129001,43.3,-84.0,931e7e42-1720-402e-8c48-67445381c695
False,,,,A,False,5.0,2,,False,,,376,AE,250,False,,6.7,9.8,False,2,,15,1973-01-01T00:00:00.000Z,2000-01-01T00:00:00.000Z,6740,8,2025-10-06T00:00:00.000Z,2026-10-06T00:00:00.000Z,1,False,False,RatingEngine,R,False,1758000,0,5181,,,75.0,933,,2,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,345310,345310,"OCEAN CITY, CITY OF",False,,,,2.0,NJ,Currently Unavailable,08226,34009,34009020205,340090202052,39.2,-74.6,be3247ef-d31b-4b16-859a-29958dd28458
False,,,,N,False,,2,1,False,,,47,A,25,False,,,,False,1,,11,1961-01-01T00:00:00.000Z,2022-08-05T00:00:00.000Z,1428,1,2025-08-05T00:00:00.000Z,2026-08-05T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,1149,,,21.0,207,,1,,,,,,,,,False,False,,N,,,False,False,False,,False,,060232,060232,"SANTA ANA, CITY OF",False,,,,9.0,CA,Currently Unavailable,92703,06059,06059089004,060590890041,33.7,-117.9,6ffeca06-f47b-4d8a-b6e1-7cb533c98617
False,,,,N,False,,2,,False,,,47,A,25,False,,,,False,1,,11,1955-05-05T00:00:00.000Z,2022-05-25T00:00:00.000Z,432,1,2025-05-25T00:00:00.000Z,2026-05-25T00:00:00.000Z,1,False,True,RatingEngine,R,False,200000,0,305,,,6.0,55,,1,,,,,,,,,False,False,S,N,,,False,False,False,,False,,180224,180224,ST. JOSEPH COUNTY*,False,,,,5.0,IN,Currently Unavailable,46574,18141,18141012200,181410122001,41.5,-86.5,0e4e1356-a817-4d84-a84f-d2a41c581c59
False,,,,N,False,,2,,False,,,47,A,25,False,,,,False,1,,11,1960-05-05T00:00:00.000Z,2022-12-14T00:00:00.000Z,917,1,2025-12-14T00:00:00.000Z,2026-12-14T00:00:00.000Z,1,False,True,RatingEngine,R,False,200000,0,716,,,13.0,129,,2,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,060220,060220,"GARDEN GROVE, CITY OF",False,,,,9.0,CA,Currently Unavailable,92843,06059,06059089107,060590891072,33.8,-117.9,b027817c-3448-4ee3-ada6-6350025256d0
False,,,,N,False,7.0,F,1,False,,,47,X,25,False,,,,False,1,,11,1991-01-01T00:00:00.000Z,2022-10-09T00:00:00.000Z,491,1,2025-10-09T00:00:00.000Z,2026-10-09T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,99000,355,,,8.0,64,,2,,,,,,,,,False,False,N,Z,,,False,False,False,,False,,450104,450104,HORRY COUNTY *,False,,,,4.0,SC,Currently Unavailable,29576,45051,45051051605,450510516051,33.6,-79.0,a3ef2b82-c561-4f24-8862-f31890593c76
False,,,,N,False,6.0,F,1,False,,,47,AE,25,False,,,,False,2,,11,1998-01-01T00:00:00.000Z,2021-08-16T00:00:00.000Z,3188,1,2025-08-16T00:00:00.000Z,2026-08-16T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,2641,,,75.0,475,,1,,,,,,,,,False,False,N,T,,,False,False,False,,False,,125150,125150,"SARASOTA, CITY OF",False,,,,4.0,FL,Currently Unavailable,34236,12115,12115000700,121150007002,27.3,-82.6,1c7e74ed-bddf-417e-a357-f24b277d7009
False,,,,N,False,,F,1,False,,,47,AE,25,False,,,,False,2,,11,1990-01-01T00:00:00.000Z,2022-08-25T00:00:00.000Z,1122,1,2025-08-25T00:00:00.000Z,2026-08-25T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,890,,,17.0,160,,1,,,,,,,,,False,False,,N,,,False,False,False,,False,,360497,360497,"NEW YORK, CITY OF",False,,,,2.0,NY,Currently Unavailable,10306,36085,36085012804,360850128041,40.6,-74.1,15dfe7c8-79de-4dde-a595-280ca68fabcd
False,,,,N,False,8.0,2,1,False,,,47,X,25,False,,,,False,1,,11,1960-07-01T00:00:00.000Z,2016-07-19T00:00:00.000Z,1081,1,2025-07-19T00:00:00.000Z,2026-07-19T00:00:00.000Z,1,False,True,RatingEngine,R,False,250000,100000,855,,,35.0,154,,1,,,,,,,,,False,False,N,R,,,False,False,False,,False,,225203,225203,NEW ORLEANS/ORLEANS PARISH*,False,,,,6.0,LA,Currently Unavailable,70126,22071,22071001701,220710017012,30.0,-90.0,c3fd8193-8f7e-4887-b0f1-aa566a89e0a3
False,,,,N,False,9.0,F,,False,,,47,AE,250,False,,,,False,1,,18,1981-01-01T00:00:00.000Z,2010-07-22T00:00:00.000Z,4110,1,2025-07-22T00:00:00.000Z,2026-07-22T00:00:00.000Z,1,False,False,RatingEngine,R,False,500000,0,3231,,,67.0,582,,2,,,,,,,,,False,False,N,T,2025-07-22T00:00:00.000Z,,False,False,False,,False,,220037,220037,CALCASIEU PARISH*,False,,,,6.0,LA,Currently Unavailable,70665,22019,22019003300,220190033003,30.2,-93.4,1bd1e9c3-6338-4d5b-b3ab-248f93f040e6
False,,,,N,False,7.0,F,,False,,,47,AE,250,False,,5.9,18.2,False,2,,11,2021-03-24T00:00:00.000Z,2022-05-11T00:00:00.000Z,1768,1,2025-05-11T00:00:00.000Z,2026-05-11T00:00:00.000Z,1,False,False,RatingEngine,R,False,250000,0,1247,,,28.0,224,,1,,,,,,,,,False,False,N,N,,,False,False,False,,False,,375352,375352,"HOLDEN BEACH, TOWN OF",False,,,,4.0,NC,Currently Unavailable,28462,37019,37019020406,370190204062,33.9,-78.3,88fac3df-b700-49f2-b7f0-5a62114ab20a
